Transfer,CC,Model,Accuracy,
expanse -> chameleon,bbr,DecisionTreeClassifier(),93.74,0.9374
expanse -> chameleon,bbr,GradientBoostingClassifier(),96.59,0.9659
expanse -> chameleon,bbr,LinearSVC(),96.59,0.9659
expanse -> chameleon,bbr,MLPClassifier(),89.41,0.8941
expanse -> chameleon,bbr,RandomForestClassifier(),96.96,0.9696
expanse -> chameleon,cubic,DecisionTreeClassifier(),62.06,0.6206
expanse -> chameleon,cubic,GradientBoostingClassifier(),77.92,0.7792
expanse -> chameleon,cubic,LinearSVC(),81.4,0.814
expanse -> chameleon,cubic,MLPClassifier(),83.92,0.8392
expanse -> chameleon,cubic,RandomForestClassifier(),80.96,0.8096
expanse -> chameleon,htcp,DecisionTreeClassifier(),78.7,0.787
expanse -> chameleon,htcp,GradientBoostingClassifier(),78.78,0.7878
expanse -> chameleon,htcp,LinearSVC(),78.96,0.7896
expanse -> chameleon,htcp,MLPClassifier(),82.22,0.8222
expanse -> chameleon,htcp,RandomForestClassifier(),79.44,0.7944
