Test Size,Model,Accuracy,Runtime,,Total Runtime
0.2,RandomForestClassifier(),0.988065844,0.519545301,,431.6
0.2,GradientBoostingClassifier(),0.990740741,7.387701029,,
0.2,DecisionTreeClassifier(),0.985802469,0.016448847,,
0.2,MLPClassifier(),0.976131687,13.10969391,,
0.2,LinearSVC(),0.966460905,0.157457895,,
0.4,RandomForestClassifier(),0.984156379,0.458372389,,
0.4,GradientBoostingClassifier(),0.987757202,5.737956527,,
0.4,DecisionTreeClassifier(),0.979423868,0.011096666,,
0.4,MLPClassifier(),0.969238683,11.07060577,,
0.4,LinearSVC(),0.96399177,0.119796929,,
0.6,RandomForestClassifier(),0.978875171,0.38210034,,
0.6,GradientBoostingClassifier(),0.984705075,3.978629831,,
0.6,DecisionTreeClassifier(),0.976886145,0.008453206,,
0.6,MLPClassifier(),0.963786008,7.463905148,,
0.6,LinearSVC(),0.961865569,0.089588983,,
